CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,12691,1144,1.625,0.061
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,8256,1291,3.714,0.105
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,3418,1887,2.333,0
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3313,1171,2.333,0.76
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,4716,816,2.5,0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,4010,1088,0.846,0.311
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,29081,1538,0.714,0.048
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,22352,1350,1.182,0.113
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,11656,1441,0.882,0.144
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,6748,1201,0.68,0.217
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,11751,1539,3.25,0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,8547,1311,2,0.195
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2436,1570,0.611,0.279
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,30367,1671,0.929,0.078
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,3193,1336,1.143,0.788
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,20979,1178,0.929,0.086
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,1438.3,692,0.6,0
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4470,931,1.571,0.152
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,7768,1051,0.833,0.215
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,14784,1197,1.3,0.093
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,4785,1045,0.9,0.285
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2451,1596,1.6,0.69
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,8923,1589,1.667,0.282
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2650,1411,1,0.562
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,12555,1291,0.714,0.135
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,3520,1407,0.483,0.544
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,3035,1877,1.176,0.757
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,15433,966,1.2,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3672,1464,0.556,0.241
